Company name,Job Description,Job Role,Skills,Location,Updated
autodesk india pvt ltd,Job Requisition ID # 24WD80531Position OverviewWe are looking for an experienced full-stack Python engineer to join our platform team focusing on arti...,Full-stack Python Engineer  ML platform,"full, stack, development, rest, api, development, database, integration, containerization, tools, front, end, frameworks, css, orchestration, artificial, intelligence, docker, devops, html, python, machine, learning, javascript, django, consultant, forms",Pune,few days ago
autodesk india pvt ltd,Job Requisition ID # 24WD76641Position OverviewWe are looking for an experienced Senior full-stack Python engineer to join our platform team focusing ...,Senior Full-stack Python Engineer  ( ML platform ),"full, stack, development, rest, apis, integration, cloud, deployments, containerization, expertise, front, end, frameworks, css, orchestration, artificial, intelligence, docker, database, devops, html, python, machine, learning, javascript, django, consultant, forms",Pune,few days ago
ez-xbrl solutions,03. c# .net Python Software DeveloperDuties and ResponsibilitiesSoftware Development using skills described in Technical Skills section belowSoftware ...,03. c# .net Python Software Developer,"c#, python, css, software, testing, html, /, xml, problem, solving, javascript, production, support, c#, .net, microsoft, .net, software, developer, technical, skills, mongodb",,few days ago
global invisions consulting,Were looking for a software developer experienced in front and backend technologies. Responsibilities will include bridging the gap between graphical ...,Full-Stack Developer - Python  &  Javascript,"python, (, django, ), javascript, (, vue, js, react, angularjs, ), responsive, design, restful, apis, git, version, control, mobile, problem, solving, infrastructure, json, software, developer","Cochin/ Kochi/ Ernakulam,  Other City(s) in Kerala",few days ago
Nielsen Research Ltd. Co.,"Backend Engineer  ( .net / Java / Python )  Bangalore ,  IndiaTechnology  Engineering  / Full Time /  HybridAt Nielsen ,  we believe that career growt...",Nielsen - Backend Engineer  ( .net / Java / Python ),"backend, development, net, programming, java, python, sql, orchestration, security, apache, associate, software, engineer, j2ee, shell, scripting, technical, skills, c#, oracle, os, windows, spring, boot, written, communication, .net, unix, /, linux",Bengaluru / Bangalore,few days ago
brickred  ( 3pillar global ),Senior QA Automation Engineer  ( Python )  Czech RepublicProduct Development  Product Development  / Full-time  / RemoteEmbark on a pivotal journey to...,3Pillar - Senior QA Automation Engineer  ( Python ),"python, automation, linux, networking, devops, continuous, integration, test, automation, defect, tracking, qa, software, development, life, cycle, security, testing, qa, automation, test, design, jira, qa, engineer, agile, sdlc, test, documentation, data, validation, bugzilla, test, execution, jmeter, healthcare, sql, cste",,few days ago
Nutanix,"Member of Technical Staff - Concord [Java Python] EngineeringLocation: Bangalore ,  IndiaReq. Num.: 27535Hungry ,  Humble ,  Honest ,  with Heart.the ...",Member of Technical Staff - Concord [Java Python],"backend, development, rest, apis, design, graphql, implementation, distributed, systems, ux, affinity, orchestration, docker, java, git, software, engineer, software, engineering, python, github, system, architecture",Bengaluru / Bangalore,few days ago
MASTERCARD,"Our PurposeWe work to connect and power an inclusive ,  digital economy that benefits everyone ,  everywhere by making transactions safe ,  simple ,  ...","Lead Data Engineer - Spark ,  Python ,  SQL","data, engineering, leadership, apache, spark, expertise, python, programming, skills, sql, proficiency, cloud, technology, knowledge, scala, bug, fixing, security, big, data, written, communication",Ireland,few days ago
Nielsen Research Ltd. Co.,"Backend Engineer  ( c# / .net Core / Python )  Bangalore ,  IndiaTechnology  Engineering  / Full Time /  HybridAt Nielsen ,  we believe that career gr...",Nielsen - Backend Engineer  ( c# / .net Core / Python ),"c#, .net, core, python, backend, development, microservices, development, orchestration, storage, security, database, git, devops, debugging, software, engineer, software, engineering, api, press, access, management, nosql, c#, .net, infrastructure, reporting, tools",Bengaluru / Bangalore,few days ago
autodesk india pvt ltd,Job Requisition ID # 23WD73633Position OverviewAutodesk is looking for a Software Development Engineer in Test  ( SDET )  to join the Data Ingestion t...,"Software Development Engineer in Test ( Pytest  ,  Python )","test, framework, design, python, (, pytest, ), linux, servers, aws, cloud, services, continuous, integration, test, automation, bi, qa, functional, testing, test, strategy, writing, jenkins, sql, queries, edi, consultant, sdet, infrastructure",Bengaluru / Bangalore,few days ago
Moody's Corporation,"Experience Level: Experienced HireCategories: Engineering  & amp; TechnologyLocation ( s ) : MIS Support Center ,  4th floor ,  East Tower ,  Eurocent...","Senior Software Engineer  ( Big Data ,  Python ,  SQL )","cloud, native, solutions, data, engineering, pipelines, sql, and, python, serverless, architecture, agile, methodologies, data, warehousing, java, api, big, data, messaging, nosql, application, support, infrastructure, gateway",,few days ago
forcepoint,"Who is Forcepoint?Forcepoint simplifies security for global businesses and governments. Forcepoints all-in-one ,  truly cloud-native platform makes it...","Sr. Software Engineer  ( Python ,  Networking ,  Linux ,  Databases )","**, cloud, native, security, zero, trust, implementation, data, protection, strategies, regulatory, compliance, cybersecurity, awareness, **, job, posting",Mumbai,few days ago
CGI Information Systems and Management Consultants Pvt Ltd,"Position Description:Primary Skills:SSIS  ( SQL Server Integration Services )  resource ,  with Python scriptingSecondary Skills:Its good to have expe...",SSIS  ( SQL Server Integration Services )  with Python Scripting,"ssis, expertise, python, scripting, java, development, spring, framework, data, integration","Bengaluru / Bangalore,  null",a month ago
unitedhealth group information services,"Optum is a global organization that delivers care ,  aided by technology to help millions of people live healthier lives. The work you do with our tea...","Quality Consultant  ReactJS ,  JavaScript ,  c# ,  Python","automated, testing, ui, functionality, test, case, development, software, defect, analysis, ci, /, cd, pipelines, continuous, integration, test, cases, test, scripts, test, data, selenium, writing, test, planning, software, testing, uat, business, environment, ui, automation, agile, api, testing",Hyderabad/Secunderabad,few days ago
CRIMSON INTERACTIVE PVT LTD,"About the role:Architect core components of the platform capable of handling 1M requests per secondBuild multi level ,  multi services components capa...",CrimsonAI - Associate Architect - Python /  Node.Js /  Golang,"design, engineering, designing, building",Mumbai,few days ago
CRIMSON INTERACTIVE PVT LTD,"About the role:Architect core components of the platform capable of handling 1M requests per secondBuild multi level ,  multi services components capa...",CrimsonAI - Architect - Python /  Node.Js /  Golang,"design, engineering, designing, building",Mumbai,few days ago
CGI Information Systems and Management Consultants Pvt Ltd,"Position Description:Job Summary:We are looking for a highly skilled Tableau Developer with expertise in ETL processes ,  SQL ,  and Python. The succe...","Tableau Developer with ETL ,  Python ,  SQL Skills","tableau, development, sql, optimization, python, automation, etl, processes, data, modeling, bi, data, warehousing, database, python, scripting, postgresql, mysql, technical, skills, big, data, sql, development, machine, learning","Bengaluru / Bangalore,  null",a month ago
SAMPOORNA CONSULTANTS PVT LTD,Work Location: Navi Mumbai  ( JuiNagar ) .Data Engineer ( Azure Synapse + Python ) Experience - 4-6 yearsMandatory Skillset-Very good knowledge of SQL...,Data Engineer  ( Azure Synapse + Python )  - J48289,"Python, Azure, Synapse, Azure, Data, Facory, JSON, Parquet",Mumbai,few days ago
Moody's Corporation,"Experience Level: Experienced HireCategories: Engineering  & amp; TechnologyLocation ( s ) : MIS Support Center ,  4th floor ,  East Tower ,  Eurocent...","SR Data Specialist  ( SQL , Python , ETL )","data, quality, management, data, operations, optimization, data, integration, and, etl, cross, functional, collaboration, excellent, communication, data, architecture, data, modeling, oracle, data, specialist",,a month ago
SAMPOORNA CONSULTANTS PVT LTD,"Key Responsibilities:? Develop ,  maintain ,  and execute automated test scripts using Selenium and Python.? Collaborate with the development team to ...",Automation Testing Engineer  ( Selenium + Python )  - J48245,automation,Pune,a month ago
SAP Ariba,Software-Design and DevelopmentSoftware Engineering Manager ( Java / Python / Go Lang )  - Java / Python / Go  ( 14  years ) Bring out your bestSAP in...,Software Engineering Manager ( Java / Python / Go Lang )  - Java / Python / Go  ( 14  years )  Job Details | SAP,"**, software, engineering, team, leadership, cloud, technologies, agile, methodologies, microservices, architecture, **, java, devops, python, nosql, docker, database",Bengaluru / Bangalore,few days ago
krazy mantra hr solutions,"Hiring For Python developer with Django flask ,  SQL Strong and API DevelopmentDesired ProfileSkills: Python developer with Django flask ,  SQL Strong...","Hiring For Python developer with Jango flask ,  SQL Strong and API Development","python, development, django, flask, sql, strong, api, development, immediate, hiring",Gurgaon,1 day ago
White Horse Manpower Consultancy P Ltd,"Data Engineer with Python Programming SOLR  &  SQL Server ,  MongoDB ,  ETL  Design ,  develop ,   &  implement Apache Solr-based search solutions.  C...","Data Engineer  Python Programming  SOLR  SQL Server , MongoDB ,  ETL","Data, Engineer, with, Python, SOLR, &, SQL, Server, Python, SOLR",Bengaluru / Bangalore,few days ago
Capgemini India Pvt Ltd,"At Capgemini Engineering ,  the world leader in engineering services ,  we bring together a global team of engineers ,  scientists ,  and architects t...",PYTHON AUTOMATION TESTING ENGINEER | 2 to 4 YEARS | BENGALURU,"python, automation, testing, l, l, protocols, digital, transformation, engineering, services, r, &, d, expertise, l3, protocol, testing",Bengaluru / Bangalore,1 day ago
Nvidia Graphics Pvt Ltd,NVIDIA is hiring system engineers for its Deep Learning Algorithms team. Academic and commercial groups around the world are using GPUs to redefine de...,"System Software Engineer ,  Python and C / C   - Deep Learning","python, programming, c, /, c, programming, deep, learning, knowledge, performance, tuning, strong, analytical, skills, algorithms, machine, learning, software, engineering, data, structures",,Posted today
CAPITAL ONE FINANCIAL SERVICES CLIENT,"# **R198799**  **Posted:** 09 / 27 / 2024## Senior Software Engineer ,  DevOps  ( Python ,  SQL ,  AWS )   **Location:** Plano ,  Texas | McLean ,  Vi...","Senior Software Engineer ,  DevOps  ( Python ,  SQL ,  AWS )  at Capital One","devops, engineering, aws, services, cloud, technologies, automation, tools, full, stack, development, linux, system, administration, orchestration, senior, software, engineer, sql, docker, java, postgresql, iam, perl, san, python, oracle, cm, tools, microsoft, azure, javascript, ruby, unix",Plano,Posted today
krazy mantra hr solutions,Hiring For Data Engineer- Databricks   Azure Data Factory   Python Job Description Data Engineer- Databricks   Azure Data Factory   Python Desired Pro...,Hiring For Data Engineer- Databricks   Azure Data Factory   Python,"azure, databricks, azure, data, factory, python, data, migration, solutions, data, warehousing, hive, scala, nosql, java, hadoop, big, data",Kolkata,1 day ago
CAPITAL ONE FINANCIAL SERVICES CLIENT,"R201357Posted 10 / 29 / 2024Senior Platform Engineer  ( Python ,  Oracle ,  AWS ) Location: McLean ,  Virginia | Plano ,  TexasCategory: TechnologyExp...","Senior Platform Engineer  ( Python ,  Oracle ,  AWS )  at Capital One","**, python, development, aws, services, oracle, database, devops, principles, ci, /, cd, tools, **, orchestration, sql, docker, postgresql, iam, software, engineering, san, github, rdbms, cm, tools, ruby, groovy",Plano,Posted today
SAP Ariba,": Client Interfaces Developer - C   / Python / NodeJS / PerlWe help the world run betterAt SAP ,  we enable you to bring out your best. Our company cu...",Client Interfaces Developer- C   / Python / NodeJS / Perl Job Details | SAP,"**, c, programming, python, development, database, architecture, microservices, design, problem, solving, **, api, c#, maven, node.js, .net, java, programming, ado.net, jdbc, sql, linux, debugging, perl, odbc, ant, windows, php",Pune,Posted today
SAMPOORNA CONSULTANTS PVT LTD,Responsibilities:?Design and implement software systems with various technologies and ensure compliance to all architecture requirements.?Software req...,Machine Learning + Python + Azure - AM -BLR - J48114,"Python, Azure, ML",Bengaluru / Bangalore,few days ago
CAPITAL ONE FINANCIAL SERVICES CLIENT,": Lead Data Engineer  ( python ,  Spark ,  Big Data ,  AWS ) Posted: 09 / 27 / 2024Job ID: R198793Location: Chicago ,  IllinoisCategory: EngineeringEx...","Lead Data Engineer  ( python ,  Spark ,  Big Data ,  AWS )  at Capital One","**, big, data, technologies, cloud, computing, (, aws, ), programming, languages, (, python, java, ), agile, engineering, practices, data, warehousing, solutions, **, hive, scala, sql, mysql, shell, scripting, hadoop, san, rdbms, microsoft, azure, machine, learning, nosql, mapreduce, cassandra, unix, /, linux",Chicago,3 days ago
unitedhealth group information services,"Optums Public Cloud engineering team develops software ,  manages security ,  financial controls ,  and creates reusable application patterns that ena...","Principal Software Engineer  Public cloud  ,  Python / GoLang  ,  IaC","**, cloud, platform, management, software, development, engineering, ci, /, cd, automation, agile, development, practices, infrastructure, as, code, **, algorithms, orchestration, technology, leadership, storage, spring, security, git, postgresql, software, engineering, data, structures, api, rest, python",Hyderabad/Secunderabad,Posted today
Nutanix,"Member of Technical Staff - 2 [QA - Python ,  UI Automation ,  Selenium]EngineeringBangalore ,  IndiaReq.Num.: 27705Hungry ,  Humble ,  Honest ,  with...","Member of Technical Staff - 2 [QA - Python ,  UI Automation ,  Selenium]","python, development, ui, automation, test, automation, cloud, solutions, team, collaboration, udp, regression, testing, storage, jmeter, qa, selenium, writing, jenkins",Bengaluru / Bangalore,6 days ago
infinity business solutions pvt ltd,"### - **Posted on:** 14-Jun-2020- **Position:** Cloud Architect ,  DevOps with hands-on coding in Python ,  Ruby ,  Go- **Location:** Gurgaon- **Exper...","Cloud Architect , DevOps with hands on coding in Python ,  Ruby ,  Go","Cloud, DevOps, Automation, Go, Ruby, Python, devops, software, engineering, python, github, technical, consultant, security, cloud, services, team, player, ruby, written, communication, infrastructure, forms",Gurgaon,few days ago
Nutanix,"Member of Technical Staff - 2 [ QA - Python ,  Storage ,  Virtualization ]Location: Bangalore ,  IndiaReq.Num.: 27724Hungry ,  Humble ,  Honest ,  wit...","Member of Technical Staff - 2 [ QA - Python  ,  Storage ,  Virtualization ]","test, automation, expertise, functional, testing, knowledge, python, programming, proficiency, distributed, systems, familiarity, system, software, troubleshooting, continuous, integration, defect, tracking, test, cases, storage, qa, test, planning, debugging, qa, engineer, test, case, development",Bengaluru / Bangalore,3 days ago
unitedhealth group information services,"Optum is a global organization that delivers care ,  aided by technology to help millions of people live healthier lives. The work you do with our tea...","Senior Data Analyst  Python ,  Azure Admin ,  Kubernetes or Terraform ,  Dockers ,  Linux","python, development, azure, databricks, sql, databases, streaming, applications, devops, methodology, scala, sas, business, environment, nosql, cassandra",Hyderabad/Secunderabad,few days ago
unitedhealth group information services,"Optum is a global organization that delivers care ,  aided by technology to help millions of people live healthier lives. The work you do with our tea...","Data Engineering Lead  AWS  ,  Python ,  Spark  , Scala ,  Devops  HYD","**, aws, services, expertise, spark, &, scala, python, programming, ci, /, cd, processes, infrastructure, as, code, **, orchestration, business, environment, sql, git, devops, shell, scripting, hadoop, big, data",Hyderabad/Secunderabad,few days ago
unitedhealth group information services,"Optum is a global organization that delivers care ,  aided by technology to help millions of people live healthier lives. The work you do with our tea...","Senior Data Engineering Lead  AWS ,  Python ,  Scala ,  Devops  HYD","**, cloud, architecture, big, data, pipelines, aws, services, python, development, devops, practices, **, orchestration, scala, sql, git, shell, scripting, hadoop, business, environment, infrastructure",Hyderabad/Secunderabad,few days ago
infinity business solutions pvt ltd,"Posted on: 11-Feb-2017Lead Consultant-front Arena  ( Trading ,  Python ,  C    /  .net )  - PuneLocation: PuneExperience: 5 - 9 YrsHiring ,  following...","Lead Consultant-front Arena  (  Trading ,  Python ,  C    /  .net  )  - Pune","Trading, Python, C, .net, Financial, Services, c, dbms, t-sql, git, xml, multithreading, data, structures, object, oriented, programming, python, team, player, production, environment, .net, software, developer",Pune,few days ago
crescendo global,Job Title: Senior Software Engineer  3-5 Years- PythonLocation: MumbaiDiscipline: Python EngineerEmployment Type: PermanentContact: Nancy ThakurEmail:...,Senior Software Engineer  3-5 Years- Python  Mumbai job in Mumbai,"python, programming, automation, solutions, system, integration, scripting, troubleshooting, senior, software, engineer, api",Mumbai,few days ago
crescendo global,Position: Software Programmer-Python / JavaExperience: 4-6 YearsLocation: PuneDiscipline: AnalyticsJob type: PermanentContact name: Mini DangContact e...,Software Programmer-Python / Java-4-6 Years-Pune job in Pune,"python, java, automation, scalability, software, development, c, docker, database, security, postgresql, devops, linux, shell, scripting, mysql, javascript, unix, /, linux",Pune,few days ago
Nielsen Research Ltd. Co.,"Title: Senior / Lead DevOps Engineer -  ( Python ,  Terraform ,  AWS / Azure ) Location: Bengaluru ,  IndiaTechnology: OtherEmployment Type: Full Time...","Nielsen - Senior / Lead Devops Engineer -  ( Python ,  Terraform ,  AWS / Azure )","python, terraform, aws, azure, devops, process, docker, security, git, debugging, technical, skills, rest, maven, ant, infrastructure",Bengaluru / Bangalore,few days ago
crescendo global,Title: Developer - VBA   DotNet /  PythonExperience: 3  yearsLocation: MumbaiDiscipline: AnalyticsJob Type: PermanentContact Name: Isha JoshiContact E...,Developer - VBA   DotNet /  Python - 3  years - Mumbai job in,"vba, programming, dotnet, development, python, scripting, data, analytics, technical, troubleshooting, leadership, hiring, recruitment, compensation",Mumbai,few days ago
crescendo global,Data EngineerDiscipline: Data EngineeringJob type: PermanentContact name: Nancy ThakurContact email: nancy.thakur@crescendogroup.inJob ref: 41131Publi...,Data Engineer - Data Bricks / Python / Pyspark - 5  years - Gurgaon,"data, engineering, python, pyspark, data, modeling, etl, processes, information, technology, sas, data, warehousing, sql, cloud, computing",Gurgaon,few days ago
crescendo global,"Sr. Associate / Associate - Data Analytics - Python ,  SQL - MumbaiDiscipline: TechnologyJob type: PermanentContact name: Randhawa HarmeenContact emai...","Sr. Associate / Associte - Data analytics - Python , SQL - 3 to 6 years -","python, programming, sql, querying, data, analytics, dashboard, development, machine, learning, information, retrieval",Mumbai,few days ago
crescendo global,Python DeveloperExperience: 4-8 yearsLocation: Gurgaon  ( Hybrid ) Discipline: AnalyticsJob Type: PermanentContact Name: Nancy ThakurContact Email: na...,Python Developer - 4-8 years- Gurgaon ( Hybrid )  job in Gurgaon,"python, programming, pandas, data, analysis, sql, queries, data, exploration, version, control, (, git, ), data, structures",Gurgaon,few days ago
crescendo global,"Position: Quantitative Analyst - Python / SAS ,  SQLExperience: 2  yearsLocation: PuneJob Type: PermanentContact: Randhawa HarmeenContact Email: randh...","Quantitative analyst - Python / SAS ,  SQL - 2  years - Pune job in Pune","quantitative, analysis, python, programming, sas, programming, sql, financial, engineering, machine, learning",Pune,few days ago
SAP Ariba,"Software-Design and DevelopmentClient Interfaces Developer- C / Python / NodeJS / PerlWe help the world run betterAt SAP ,  we enable you to bring out...",Client Interfaces Developer- C / Python / NodeJS / Perl Job Details | SAP,"**, c, c, java, programming, database, architecture, knowledge, micro, service, architecture, problem, solving, skills, communication, skills, **, api, python, maven, node.js, .net, ado.net, jdbc, sql, linux, debugging, perl, odbc, ant, windows, php",Pune,6 days ago
Nvidia Graphics Pvt Ltd,NVIDIA is hiring system engineers for its Deep Learning Algorithms team. Academic and commercial groups around the world are using GPUs to revolutioni...,"System Software Engineer ,  Python and C / C   - Deep Learning","python, programming, c, programming, deep, learning, implementation, software, engineering, principles, algorithm, analysis, algorithms, machine, learning, data, structures",,few days ago
Nutanix,"SDET AutomationPosition: SDET AutomationExperience: 2 - 6 yearsSkills: Python / Java ,  SeleniumLocation: Bangalore ,  IndiaReq. Num.: 27574Hungry ,  ...","SDET Automation [ 2 - 6 years ,  Python / Java ,  Selenium]","automation, development, python, /, java, scripting, selenium, expertise, test, framework, design, problem, solving, skills, security, compliance, algorithms, c, ds, testing, tools, linux, data, structures, perl, triggers, php",Bengaluru / Bangalore,few days ago
Capgemini India Pvt Ltd,"At Capgemini Engineering ,  the world leader in engineering services ,  we bring together a global team of engineers ,  scientists ,  and architects t...",Python Developer I 6 TO 9 YEARS I PUNE  &  BENGALURU,"python, development, flask, framework, data, manipulation, numerical, analysis, agile, methodologies, git, devops",Pune,few days ago
Nielsen Research Ltd. Co.,"Manager - Big Data  ( AWS / Scripting  ( Java ,  Python )  Bangalore ,  IndiaTechnology - Engineering  /  Full Time  /  HybridAt Nielsen ,  we believe...","Nielsen - Manager - Big Data  ( AWS / Scripting  ( Java ,  Python )","big, data, aws, scripting, (, java, python, ), sql, data, science, scala, postgresql, shell, scripting, technical, skills, foxpro, oracle, software, engineer, developer, grails, javascript, cobol, written, communication, struts, unix, /, linux",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"** Staff Software Engineer - Big Data with  ( AWS / Java / Python )  Bangalore ,  India**Technology  Engineering  /  Full Time  /  HybridAt Nielsen , ...",Nielsen - Staff Software Engineer - Big Data with  ( AWS / Java / Python ),"aws, java, python, sql, big, data, scala, postgresql, devops, software, engineer, shell, scripting, mysql, technical, skills, foxpro, oracle, grails, javascript, cobol, written, communication, struts, unix, /, linux",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Senior Software Engineer  ( Java ,  Python ,  SQL ,  AWS / Oracle ) Location: Bangalore ,  IndiaTechnology: OtherEmployment Type: Full TimeWork Arrang...","Nielsen - Senior Software Engineer  (  Java  ,  Python  ,  SQL  ,  AWS  /  Oracle )","java, python, sql, aws, oracle, scala, senior, software, engineer, postgresql, senior, software, developer, devops, shell, scripting, mysql, technical, skills, big, data, grails, javascript, written, communication, struts, unix, /, linux",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Manager - Software Engineering  ( Java ,  Python ,  SQL ,  AWS / Oracle ) Location: Bangalore ,  IndiaTechnologyOtherEmployment TypeFull TimeHybridAt ...","Nielsen - Manager - Software Engineering  (  Java  ,  Python  ,  SQL  ,  AWS  /  Oracle  )","java, python, sql, aws, oracle, postgresql, devops, software, engineering, shell, scripting, mysql, technical, skills, grails, javascript, written, communication, struts, unix, /, linux",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Position: Senior Architect  ( Java ,  Python ,  SQL ,  AWS / Oracle ) Location: Bangalore ,  IndiaTechnology: OtherEmployment Type: Full TimeWork Arra...","Nielsen - Senior Architect  (  Java  ,  Python  ,  SQL  ,  AWS  /  Oracle  )","java, python, sql, aws, oracle, scala, postgresql, devops, shell, scripting, technical, skills, big, data, grails, javascript, written, communication, struts, unix, /, linux",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Job Title: Software Engineer - BigdataLocation: Bengaluru ,  IndiaTechnology: OtherEmployment Type: Full TimeWork Mode: HybridAt Nielsen ,  we believe...","Nielsen - Software Engineer - Bigdata  (  Java or Scala or Python ,  Spark ,  SQL ,  AWS  )","java, scala, python, spark, sql, aws, orchestration, storage, security, apache, postgresql, devops, json, software, engineer, shell, scripting, mysql, big, data, technical, skills, written, communication, unix, /, linux, software, developer",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Position: Software Engineer - BigdataLocation: Bangalore ,  IndiaTechnology: OtherEmployment Type: Full TimeWork Arrangement: HybridAt Nielsen ,  we b...","Nielsen - Software Engineer - Bigdata  ( Java / Scala / Python  , SQL  ,  AWS )","java, scala, python, sql, aws, orchestration, storage, security, apache, postgresql, devops, json, software, engineer, shell, scripting, mysql, big, data, technical, skills, written, communication, unix, /, linux, software, developer",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Position: Software Engineer - Bigdata  ( Java / Scala ,  Python ,  Spark ,  SQL ,  AWS ) Location: Bangalore ,  IndiaTechnology: OtherEmployment Type:...","Nielsen - Software Engineer - Bigdata  (  Java / Scala  , Python ,  Spark ,  SQL ,  AWS  )","java, /, scala, python, spark, sql, aws, orchestration, storage, security, apache, postgresql, devops, json, software, engineer, shell, scripting, mysql, big, data, technical, skills, written, communication, unix, /, linux, software, developer",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Position: DevOps EngineerLocation: Bangalore ,  IndiaTechnology: OtherEmployment Type: Full TimeWork Arrangement: HybridAt Nielsen ,  we believe that ...","Nielsen - DevOps Engineer  ( Terraform ,  Jenkins ,  GitLab CI / CD ,  Python ,  Airflow )","terraform, jenkins, gitlab, ci, /, cd, python, airflow, orchestration, docker, security, devops, software, engineering, c#, cloud, services, software, delivery, infrastructure",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Big Data Engineer  ( Java / Python ,  Spark / Scala ,  SQL )  Bangalore ,  IndiaTechnology  Engineering  /  Full Time  /  HybridAt Nielsen ,  we belie...","Nielsen - Big Data Engineer  ( Java / Python ,  Spark / Scala ,  SQL )","java, /, python, spark, /, scala, sql, cloud, implementation, agile, scrum, orchestration, storage, security, apache, postgresql, json, shell, scripting, mysql, big, data, technical, skills, written, communication, unix, /, linux",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Big Data Engineer  ( Java / Python / Scala / SQL )  Bangalore ,  IndiaTechnology  Engineering  / Full Time /  HybridAt Nielsen ,  we believe that care...",Nielsen - Big Data Engineer  ( Java / Python / Scala / SQL ),"big, data, engineering, java, python, scala, sql, orchestration, storage, apache, postgresql, devops, json, shell, scripting, mysql, technical, skills, written, communication, unix, /, linux, software, developer",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,": Principal Software Engineer  ( AWS ,  Node.js and Python ) Location: Bengaluru ,  IndiaTechnology: EngineeringEmployment Type: Full TimeWork Model: ...","Nielsen - Principal Software Engineer  ( AWS ,  Node.js and Python )","**, aws, cloud, architecture, node, js, development, python, programming, technical, leadership, agile, methodology, **, orchestration, apache, devops, api, big, data, messaging, node.js, storage, sql, memory, management, security, git, iam, software, engineer, cloud, services, mobile, business, environment",Bengaluru / Bangalore,few days ago
Ansys Software Pvt Ltd,"# Senior Application Engineer - HPC And Python**Date:** Sep 9 ,  2024  **Location:** Pune ,  MH ,  IN ,  411057  **Company:** Ansys  **Requisition #:*...",Senior Application Engineer - HPC And Python Job Details | Ansys,"**, high, performance, computing, python, scripting, engineering, simulation, customer, support, application, development, **, docker, devops, satellite, microsoft, azure, infrastructure",Pune,few days ago
SAP Ariba,Software-Quality AssuranceQuality Specialist- Python- 5  yrs.  ( Location- Pune ) Bring out your bestSAP innovations help more than four hundred thous...,Quality Specialist- Python- 5  yrs.  ( Location- Pune )  Job Details | SAP,"quality, assurance, test, automation, cloud, technologies, database, management, agile, methodology, c, dbms, java, shell, scripting, python, database, servers, unix, database, engine, sql, docker, git, problem, solving",Pune,few days ago
Nielsen Research Ltd. Co.,"Associate Big Data Engineer  ( Airflow / Python / Spark ) Bangalore ,  IndiaTechnology - EngineeringFull Time  /  HybridAt Nielsen ,  we believe that ...",Nielsen - Associate Big Data Engineer  ( Airflow / Python / Spark ),"airflow, python, spark, sql, aws, docker, database, git, couchbase, mysql, big, data, technical, skills, mongodb, oracle, nosql",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Title: DevOps EngineerLocation: Bangalore ,  IndiaTechnology: OtherEmployment Type: Full TimeWork Arrangement: HybridAt Nielsen ,  we believe that car...","Nielsen - DevOps Engineer -  ( AWS ,  Automation ,  Python ,  CI / CD ,  Networking )","devops, automation, python, ci, /, cd, networking, database, postgresql, linux, security, design, mysql, shell, scripting, cloud, computing, oracle, team, player, written, communication, infrastructure, openstack, high, performance, computing, unix",Bengaluru / Bangalore,few days ago
Nielsen Research Ltd. Co.,"Software Engineer  ( Java ,  Python ,  SQL ,  AWS / Oracle ) Location: Bangalore ,  IndiaTechnology: OtherEmployment Type: Full TimeWork Arrangement: ...","Nielsen - Software Engineer  (  Java  ,  Python  ,  SQL  ,  AWS  /  Oracle )","java, python, sql, aws, oracle, scala, postgresql, devops, software, engineer, shell, scripting, mysql, technical, skills, big, data, grails, javascript, written, communication, struts, unix, /, linux, software, developer",Bengaluru / Bangalore,few days ago
Algoworks,Role: Python Developer with Power BI and Azure Pipeline ExpertiseLocation: NoidaEmployment Type: Full-timeResponsibilities:Application Coordination: C...,Python Developer with Power BI and Azure Pipeline Expertise EXP: 3  years,"python, development, power, bi, integration, azure, pipelines, data, visualization, back, end, programming, algorithms, software, design, storage, database, testing, tools, debugging, data, structures, api, technical, skills, written, communication",Noida/Greater Noida,few days ago
unitedhealth group information services,"Optum is a global organization that delivers care ,  aided by technology to help millions of people live healthier lives. The work you do with our tea...","Senior Data Engineering Analyst  Bigdata ,  Azure Databricks ,  Python ,  SQL","big, data, solutions, python, programming, sql, development, etl, processes, azure, databricks, hive, orchestration, scala, data, warehousing, storage, docker, apache, java, unix, shell, scripting, devops, rest, github, business, environment, written, communication",Hyderabad/Secunderabad,few days ago
